taxonomy	Caro-Soil-SIP-pooled__JR71_7__27651__L1_S31_L005_R1_001	Caro-Soil-SIP-pooled__JR71_7__27651__L2_S55_L006_R1_001	Caro-Soil-SIP-pooled__JR71_7__27651__L3_S1319_L007_R1_001	Caro-Soil-SIP-pooled__JR72_8__27652__L1_S32_L005_R1_001	Caro-Soil-SIP-pooled__JR72_8__27652__L2_S56_L006_R1_001	Caro-Soil-SIP-pooled__JR72_8__27652__L3_S1320_L007_R1_001	Caro-Soil-SIP-pooled__JR73_9__27663__L1_S33_L005_R1_001	Caro-Soil-SIP-pooled__JR73_9__27663__L2_S57_L006_R1_001	Caro-Soil-SIP-pooled__JR73_9__27663__L3_S1321_L007_R1_001	Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	Caro-Soil-SIP-pooled__JRP1_1__27645__L2_S49_L006_R1_001	Caro-Soil-SIP-pooled__JRP1_1__27645__L3_S1313_L007_R1_001	Caro-Soil-SIP-pooled__JRP2_2__27646__L1_S26_L005_R1_001	Caro-Soil-SIP-pooled__JRP2_2__27646__L2_S50_L006_R1_001	Caro-Soil-SIP-pooled__JRP2_2__27646__L3_S1314_L007_R1_001	Caro-Soil-SIP-pooled__JRP3_3__27647__L1_S27_L005_R1_001	Caro-Soil-SIP-pooled__JRP3_3__27647__L2_S51_L006_R1_001	Caro-Soil-SIP-pooled__JRP3_3__27647__L3_S1315_L007_R1_001	Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	Caro-Soil-SIP-pooled__JS71_10__27664__L2_S58_L006_R1_001	Caro-Soil-SIP-pooled__JS71_10__27664__L3_S1322_L007_R1_001	Caro-Soil-SIP-pooled__JS72_11__27665__L1_S35_L005_R1_001	Caro-Soil-SIP-pooled__JS72_11__27665__L2_S59_L006_R1_001	Caro-Soil-SIP-pooled__JS72_11__27665__L3_S1323_L007_R1_001	Caro-Soil-SIP-pooled__JS73_12__27666__L1_S36_L005_R1_001	Caro-Soil-SIP-pooled__JS73_12__27666__L2_S60_L006_R1_001	Caro-Soil-SIP-pooled__JS73_12__27666__L3_S1324_L007_R1_001	Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	Caro-Soil-SIP-pooled__JSP1_4__27648__L2_S52_L006_R1_001	Caro-Soil-SIP-pooled__JSP1_4__27648__L3_S1316_L007_R1_001	Caro-Soil-SIP-pooled__JSP2_5__27649__L1_S29_L005_R1_001	Caro-Soil-SIP-pooled__JSP2_5__27649__L2_S53_L006_R1_001	Caro-Soil-SIP-pooled__JSP2_5__27649__L3_S1317_L007_R1_001	Caro-Soil-SIP-pooled__JSP3_6__27650__L1_S30_L005_R1_001	Caro-Soil-SIP-pooled__JSP3_6__27650__L2_S54_L006_R1_001	Caro-Soil-SIP-pooled__JSP3_6__27650__L3_S1318_L007_R1_001	Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	Caro-Soil-SIP-pooled__LR71_19__27673__L2_S67_L006_R1_001	Caro-Soil-SIP-pooled__LR71_19__27673__L3_S1331_L007_R1_001	Caro-Soil-SIP-pooled__LR72_20__27674__L1_S44_L005_R1_001	Caro-Soil-SIP-pooled__LR72_20__27674__L2_S68_L006_R1_001	Caro-Soil-SIP-pooled__LR72_20__27674__L3_S1332_L007_R1_001	Caro-Soil-SIP-pooled__LR73_21__27675__L1_S45_L005_R1_001	Caro-Soil-SIP-pooled__LR73_21__27675__L2_S69_L006_R1_001	Caro-Soil-SIP-pooled__LR73_21__27675__L3_S1333_L007_R1_001	Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	Caro-Soil-SIP-pooled__LRP1_13__27667__L2_S61_L006_R1_001	Caro-Soil-SIP-pooled__LRP1_13__27667__L3_S1325_L007_R1_001	Caro-Soil-SIP-pooled__LRP2_14__27668__L1_S38_L005_R1_001	Caro-Soil-SIP-pooled__LRP2_14__27668__L2_S62_L006_R1_001	Caro-Soil-SIP-pooled__LRP2_14__27668__L3_S1326_L007_R1_001	Caro-Soil-SIP-pooled__LRP3_15__27669__L1_S39_L005_R1_001	Caro-Soil-SIP-pooled__LRP3_15__27669__L2_S63_L006_R1_001	Caro-Soil-SIP-pooled__LRP3_15__27669__L3_S1327_L007_R1_001	Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	Caro-Soil-SIP-pooled__LS71_22__27676__L2_S70_L006_R1_001	Caro-Soil-SIP-pooled__LS71_22__27676__L3_S1334_L007_R1_001	Caro-Soil-SIP-pooled__LS72_23__27677__L1_S47_L005_R1_001	Caro-Soil-SIP-pooled__LS72_23__27677__L2_S71_L006_R1_001	Caro-Soil-SIP-pooled__LS72_23__27677__L3_S1335_L007_R1_001	Caro-Soil-SIP-pooled__LS73_24__27678__L1_S48_L005_R1_001	Caro-Soil-SIP-pooled__LS73_24__27678__L2_S72_L006_R1_001	Caro-Soil-SIP-pooled__LS73_24__27678__L3_S1336_L007_R1_001	Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	Caro-Soil-SIP-pooled__LSP1_16__27670__L2_S64_L006_R1_001	Caro-Soil-SIP-pooled__LSP1_16__27670__L3_S1328_L007_R1_001	Caro-Soil-SIP-pooled__LSP2_17__27671__L1_S41_L005_R1_001	Caro-Soil-SIP-pooled__LSP2_17__27671__L2_S65_L006_R1_001	Caro-Soil-SIP-pooled__LSP2_17__27671__L3_S1329_L007_R1_001	Caro-Soil-SIP-pooled__LSP3_18__27672__L1_S42_L005_R1_001	Caro-Soil-SIP-pooled__LSP3_18__27672__L2_S66_L006_R1_001	Caro-Soil-SIP-pooled__LSP3_18__27672__L3_S1330_L007_R1_001
Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Agrilutibacter	0.03	0.02	0.0	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquirickettsiella	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-1321; g__Peribacillus	0.2	0.16	0.21	0.16	0.13	0.12	0.18	0.19	0.15	0.05	0.05	0.0	0.02	0.04	0.0	0.03	0.04	0.06	0.03	0.04	0.0	0.05	0.03	0.05	0.06	0.04	0.0	0.05	0.07	0.0	0.04	0.04	0.0	0.06	0.03	0.0	0.03	0.01	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.03	0.0	0.0	0.01	0.04	0.0	0.03	0.02	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Cytobacillaceae; g__Neobacillus	1.4	1.23	1.16	1.04	1.25	1.06	1.27	1.23	1.18	0.06	0.09	0.08	0.09	0.11	0.0	0.17	0.17	0.07	0.07	0.07	0.0	0.08	0.08	0.0	0.1	0.09	0.05	0.1	0.1	0.06	0.1	0.08	0.05	0.08	0.11	0.05	0.06	0.07	0.07	0.1	0.08	0.08	0.08	0.05	0.08	0.06	0.04	0.0	0.04	0.06	0.0	0.07	0.1	0.07	0.03	0.05	0.0	0.05	0.05	0.03	0.04	0.06	0.02	0.04	0.05	0.0	0.01	0.04	0.0	0.02	0.04	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Cytobacillaceae; g__Bacillus_BU	0.03	0.05	0.0	0.03	0.03	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Cytobacillaceae; g__Bacillus_BD	0.26	0.27	0.18	0.26	0.27	0.29	0.29	0.25	0.26	0.29	0.25	0.23	0.28	0.24	0.23	0.26	0.33	0.39	0.11	0.14	0.18	0.17	0.16	0.12	0.13	0.16	0.07	0.17	0.13	0.14	0.12	0.19	0.12	0.18	0.17	0.13	0.11	0.09	0.05	0.12	0.11	0.09	0.11	0.1	0.1	0.07	0.07	0.14	0.14	0.07	0.08	0.09	0.1	0.11	0.03	0.07	0.0	0.06	0.08	0.03	0.07	0.06	0.06	0.06	0.06	0.0	0.04	0.04	0.1	0.06	0.06	0.06
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Amphibacillaceae; g__Oceanobacillus	0.02	0.02	0.0	0.03	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus_AQ	0.07	0.05	0.09	0.04	0.03	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Cohnella	0.02	0.04	0.0	0.0	0.0	0.0	0.05	0.07	0.07	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina	0.27	0.23	0.34	0.33	0.31	0.19	0.19	0.2	0.16	0.2	0.21	0.19	0.16	0.21	0.31	0.27	0.23	0.23	0.11	0.08	0.05	0.13	0.12	0.06	0.07	0.08	0.07	0.09	0.1	0.06	0.09	0.06	0.07	0.12	0.1	0.07	0.03	0.03	0.0	0.05	0.04	0.0	0.04	0.04	0.0	0.03	0.04	0.0	0.04	0.03	0.0	0.02	0.04	0.0	0.02	0.03	0.0	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.0	0.04	0.03	0.0	0.03	0.02	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Rummeliibacillus	0.03	0.0	0.0	0.02	0.03	0.0	0.03	0.03	0.0	0.05	0.0	0.0	0.0	0.03	0.0	0.02	0.0	0.0	0.02	0.02	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.03	0.03	0.05	0.03	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Bhargavaea	0.02	0.0	0.0	0.0	0.02	0.0	0.02	0.02	0.0	0.02	0.03	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Ureibacillus	0.05	0.03	0.05	0.03	0.03	0.0	0.05	0.06	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Psychrobacillus	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.02	0.02	0.0	0.03	0.02	0.0	0.03	0.03	0.0	0.03	0.02	0.0	0.03	0.0	0.0	0.02	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_AT	0.14	0.23	0.06	0.11	0.12	0.08	0.12	0.12	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	0.05	0.05	0.0	0.04	0.07	0.0	0.06	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_AD	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lutisporales; f__Lutisporaceae; g__GWB2-37-7	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter	0.12	0.12	0.11	0.17	0.08	0.07	0.09	0.13	0.1	0.13	0.11	0.06	0.08	0.12	0.0	0.08	0.09	0.14	0.07	0.09	0.05	0.08	0.09	0.09	0.07	0.07	0.1	0.09	0.07	0.0	0.09	0.08	0.08	0.08	0.1	0.08	0.03	0.02	0.0	0.02	0.02	0.0	0.05	0.02	0.0	0.05	0.0	0.05	0.03	0.02	0.0	0.02	0.03	0.0	0.06	0.06	0.0	0.07	0.08	0.08	0.09	0.07	0.06	0.06	0.04	0.06	0.07	0.06	0.04	0.06	0.06	0.06
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__JJ008	0.02	0.05	0.05	0.05	0.02	0.0	0.04	0.04	0.05	0.04	0.03	0.0	0.04	0.07	0.0	0.04	0.04	0.04	0.04	0.03	0.0	0.06	0.03	0.0	0.03	0.04	0.0	0.0	0.03	0.06	0.05	0.06	0.0	0.05	0.05	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.02	0.02	0.0	0.0	0.02	0.0	0.03	0.03	0.0	0.03	0.04	0.0	0.07	0.07	0.06	0.08	0.05	0.09	0.07	0.05	0.04	0.05	0.04	0.0	0.06	0.05	0.0	0.06	0.05	0.09
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Flavisolibacter	0.13	0.2	0.09	0.13	0.12	0.14	0.18	0.21	0.04	0.11	0.12	0.11	0.08	0.1	0.0	0.16	0.17	0.12	0.15	0.16	0.13	0.13	0.16	0.08	0.19	0.2	0.09	0.15	0.16	0.18	0.15	0.17	0.17	0.14	0.14	0.16	0.17	0.18	0.13	0.21	0.15	0.21	0.19	0.2	0.08	0.16	0.19	0.05	0.24	0.15	0.12	0.18	0.19	0.17	0.17	0.19	0.17	0.18	0.21	0.24	0.21	0.22	0.18	0.18	0.22	0.13	0.17	0.16	0.22	0.18	0.17	0.13
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__VBAS01	0.05	0.03	0.0	0.03	0.05	0.0	0.05	0.04	0.0	0.04	0.03	0.07	0.05	0.02	0.09	0.04	0.01	0.0	0.09	0.11	0.05	0.07	0.12	0.0	0.11	0.08	0.08	0.11	0.1	0.11	0.13	0.08	0.18	0.11	0.11	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Segetibacter	0.02	0.0	0.0	0.02	0.0	0.0	0.03	0.02	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.03	0.02	0.0	0.02	0.02	0.0	0.03	0.02	0.0	0.02	0.03	0.0	0.03	0.04	0.0	0.03	0.03	0.0	0.02	0.0	0.0	0.02	0.02	0.0	0.05	0.03	0.0	0.05	0.06	0.0	0.05	0.04	0.03	0.04	0.05	0.05	0.04	0.04	0.05	0.06	0.05	0.0	0.03	0.04	0.08
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella	0.04	0.02	0.0	0.04	0.0	0.0	0.02	0.05	0.0	0.03	0.03	0.0	0.0	0.03	0.0	0.04	0.03	0.0	0.02	0.04	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.02	0.02	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.02	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.01	0.02	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Pollutibacter	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Flavitalea	0.03	0.06	0.0	0.03	0.03	0.0	0.05	0.03	0.0	0.04	0.0	0.0	0.02	0.05	0.0	0.05	0.03	0.07	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.02	0.04	0.0	0.05	0.0	0.04	0.02	0.0	0.04	0.01	0.0	0.02	0.04	0.0	0.01	0.03	0.0	0.0	0.03	0.0	0.03	0.0	0.0	0.02	0.02	0.0	0.02	0.03	0.05	0.02	0.04	0.0	0.03	0.04	0.0	0.03	0.02	0.03	0.0	0.03	0.0	0.0	0.02	0.0	0.02	0.02	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__ELB16-189	0.05	0.05	0.06	0.08	0.07	0.0	0.08	0.08	0.0	0.06	0.05	0.0	0.04	0.04	0.0	0.04	0.09	0.0	0.11	0.07	0.0	0.08	0.11	0.04	0.06	0.1	0.04	0.09	0.11	0.12	0.1	0.09	0.08	0.09	0.09	0.07	0.02	0.01	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.05	0.04	0.0	0.02	0.03	0.0	0.02	0.04	0.0	0.04	0.0	0.0	0.02	0.02	0.02	0.04	0.05	0.04	0.03	0.06	0.0	0.04	0.04	0.0	0.05	0.03	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Ohtaekwangia	0.02	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Chryseolinea	0.05	0.06	0.0	0.07	0.09	0.0	0.08	0.09	0.0	0.08	0.09	0.0	0.05	0.07	0.0	0.03	0.05	0.05	0.02	0.03	0.0	0.02	0.02	0.0	0.0	0.02	0.0	0.03	0.0	0.0	0.02	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Chryseosolibacter	0.02	0.0	0.0	0.02	0.05	0.0	0.0	0.03	0.0	0.04	0.02	0.0	0.04	0.0	0.0	0.03	0.02	0.0	0.0	0.02	0.0	0.02	0.02	0.0	0.0	0.06	0.0	0.0	0.03	0.0	0.02	0.05	0.0	0.03	0.0	0.0	0.04	0.03	0.0	0.02	0.04	0.0	0.03	0.03	0.04	0.03	0.05	0.0	0.04	0.05	0.05	0.04	0.05	0.0	0.02	0.02	0.0	0.01	0.02	0.0	0.02	0.03	0.01	0.03	0.03	0.0	0.03	0.03	0.0	0.02	0.03	0.0
Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Adhaeribacter_A	0.04	0.03	0.0	0.02	0.02	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
